x, y
1920.5317866877372, 10.325175640129192
1935.0023737512906, 5.332267838710752
1937.5023820511203, 5.32644567166593
1939.457689128219, 5.27735681226841
1941.0774506907119, 5.1518948204593995
1942.5911404297983, 4.947548173199957
1943.966189813785, 4.695292321303709
1945.4216147484653, 4.424808900685437
1947.4217409058765, 4.092755112233686
1949.6716587375627, 3.720631115296983
1952.5902772475108, 3.2338522862946
1955.4195563907028, 2.8654955739163115
1958.953391476407, 2.4256746150662845
1962.8123142913107, 2.0431239921800306
1965.816985435459, 1.7996584709200834
1968.9178682053443, 1.580166578668227
1972.270634206586, 1.5189386912491498
1976.2326409062086, 1.6211500682582494
1979.9069091102251, 1.6783442974632667
1983.5835676651916, 1.6698203404826122
1986.4917283897335, 1.697294880393472
1989.3909252982128, 1.5299741712687474
1992.5847329612795, 1.239893260270845
1995.333636553778, 1.0043047885421275
1998.826835673332, 0.7804367576618102
2002.4984147325297, 0.5954973338851074
2006.4610190198896, 0.46402290813438557
2009.9446567356438, 0.3519557058664041
2013.7211124427727, 0.2629869048808216
2018.359289667376, 0.2281300093706447
2020.00026559455, 0.21629540838411082
2020.6803204398245, 1.3053831261802495
2022.0263868185425, 3.25162321446409
2023.0189800505293, 4.635662675818505
2023.3897832416478, 5.549933168752468
2024.174415940985, 6.3934243760434954
