x, y
1935.0346434891155, 4.061855768178813
1937.5902274485327, 4.059458405278004
1939.302615110338, 4.000399560483468
1941.8369847050737, 3.8243646274811995
1944.5079030978284, 3.43587767741199
1946.8746493321958, 3.0571323924635285
1949.280836357238, 2.694597847130062
1952.1271467509487, 2.29149839937973
1955.5522208684279, 1.9008424066859788
1959.3262862246067, 1.534045882862185
1963.3298252719853, 1.223301986862071
1968.4938797055884, 0.9495079222379194
1971.2200749640617, 0.8644586193282628
1975.4877477914154, 0.8531187122736419
1978.524091085651, 0.8591691995947316
1981.8843269336114, 0.8282318021604806
1985.0165830597157, 0.8282318021604806
1989.3461062179003, 0.710913233538346
1993.3786282705478, 0.5259357563822653
1997.177493517833, 0.39130290014317587
2000.0769892201813, 0.32474753961118963
2002.8258928126795, 0.26880907192564374
2005.4630474982653, 0.19639349096945743
2008.6511780778258, 0.1473807383306934
2011.1700340264485, 0.11970931677535664
2014.080827871959, 0.09895298207685832
2016.7963225750077, 0.08943963723237773
2019.930128694306, 0.06736867719318275
2020.44513727633, 0.2878362818756511
2021.102754569523, 0.7660976943219602
2022.5562560186734, 1.5588536389733199
2023.255433671548, 2.0079180015078655
2024.0236046961786, 2.4610296976896846
