x, y
1934.9497860303907, 3.4864886719846266
1938.04260136582, 3.464950459256723
1941.0944819412305, 3.324533489352189
1943.421787384923, 3.042748215058674
1946.446776512146, 2.565102197106992
1949.4143972165691, 2.1498256679557253
1953.3808858242228, 1.6587848604630147
1957.4869111685828, 1.2581588823722478
1963.1565248281106, 0.8661329680208913
1968.1544498706887, 0.6353011687144142
1972.8090607580732, 0.5386455850944913
1977.5341869984827, 0.5278003719717834
1983.4712211705416, 0.5058055186913444
1987.5999548489265, 0.4419900014745685
1991.7944231784363, 0.3294281052746741
1998.5728608848947, 0.20769534464470038
2004.4856927535848, 0.13234965347641406
2010.1060054247687, 0.08139617848937598
2015.2132890233092, 0.043799439663988665
2019.8120254572377, 0.027246219634592426
2021.851293611455, 0.522625112376386
2023.558004189754, 1.0127145853846484
2023.9948408258663, 1.121242823370483
