year,b_med,bref_lwr,bref_upr,bref_med,bref_log_mean,bref_log_sd,catch
1956,46965.35,25747.4775,84161.3925,46965.35,10.754632068159934,0.28675191020975804,3728.572
1957,46436.7,27119.670000000002,80805.205,46436.7,10.755149928264105,0.2602848577486492,5883.528
1958,41131.95,27210.230000000003,72437.24749999998,41131.95,10.64794372368196,0.24598280334742795,6823.99
1959,33166.85,19897.6925,61270.21749999998,33166.85,10.429291615760443,0.2861241463979156,4451.699
1960,27541.5,14921.647500000001,52914.29749999999,27541.5,10.237043305111731,0.3280194970006926,2980.217
1961,23736.15,11285.23,47307.35249999998,23736.15,10.078146910445472,0.37164106626263643,1787.504
1962,21961.25,10813.5375,44533.369999999995,21961.25,10.007284654337779,0.37332969901695917,2450.455
1963,50325.25,14135.2575,87804.50749999998,50325.25,10.70379842349068,0.4639050197435076,3460.229
1964,70835.95,48940.5725,117862.64999999995,70835.95,11.183953782061296,0.21284255649988748,7663.727
1965,71891.25,54020.6525,118953.525,71891.25,11.207335859863088,0.1937628143367166,10853.206
1966,60853.1,45281.7675,103601.55,60853.1,11.043764614665374,0.20236933933688728,10970.515
1967,46246.85,32859.92,83712.19749999997,46246.85,10.772612813466909,0.23154171866798648,7402.405
1968,35147.45,21705.9975,66644.76749999999,35147.45,10.485157923361108,0.27809725837955207,5038.335
1969,27176.65,13990.4625,53664.03249999999,27176.65,10.210792513342831,0.3356010570604267,3229.683
1970,22234.65,9669.952749999999,45395.96249999997,22234.65,9.99627569035516,0.3900619334980495,1466.1
1971,20439.2,9234.946,41501.52499999998,20439.2,9.922465749557418,0.3888448608976441,2263.864
1972,47578.75,29612.2825,83203.96999999999,47578.75,10.785459035235087,0.24381832871675305,5308.797
1973,59330.85,31101.162500000002,104682.24999999994,59330.85,10.982686322125469,0.28302960592942833,5697.046
1974,61262.7,39409.33500000001,106823.02499999995,61262.7,11.037251242180366,0.23835526023639506,7610.508
1975,55842.7,35321.3575,99447.10249999996,55842.7,10.944126287873221,0.24749308817815396,7978.876
1976,48069.649999999994,26996.6125,87056.63249999993,48069.649999999994,10.782238347676202,0.28051971305689544,6482.707
1977,43701.05,23996.4025,79166.60999999999,43701.05,10.68607111497455,0.28666931058867035,4955.344
1978,41369.85,21134.987500000003,73950.66749999998,41369.85,10.621861385197336,0.297019899210427,4361.003
1979,40592.3,27036.085,71247.39999999992,40592.3,10.629976495963716,0.23433494836111368,7803.389
1980,33908.7,20287.4525,61839.477499999986,33908.7,10.441048731845978,0.26974100880821555,5570.484
1981,29682.75,15626.8475,55610.994999999995,29682.75,10.296522320147888,0.30611717887290874,3488.33
1982,27961.5,16780.875,52012.134999999995,27961.5,10.252336453209638,0.2800176467726176,3116.067
1983,25681.8,14812.804999999998,48015.24,25681.8,10.164332911827568,0.29369807723465036,2544.66
1984,24051.3,13204.7975,45882.712499999994,24051.3,10.098036741013171,0.31253576083968004,2120.782
1985,23546.35,12366.025000000001,45084.42499999999,23546.35,10.071052634397448,0.33020386839975235,1343.3892
1986,34887.7,16354.415,65484.68249999994,34887.7,10.42174378924321,0.349762344636787,4131.8069
1987,49547.45,37173.1225,82692.6374999999,49547.45,10.837977191052175,0.1984080760930519,12752.1066
1988,42598.45,26410.170000000002,77157.94249999996,42598.45,10.674915266404636,0.2566583823465935,8027.224
1989,36343.5,18343.495000000003,68826.63249999992,36343.5,10.492357893103414,0.3208178659718465,4256.417
1990,35826.15,16527.9975,66252.10749999997,35826.15,10.458289427627404,0.3431248742548902,4474.9211
1991,38610.85,23941.5025,64748.87500000001,38610.85,10.57225365802926,0.23022289501845117,9957.341
1992,30960.65,22783.495,53703.07749999999,30960.65,10.370748504206064,0.21087610554839198,7122.8422
1993,23199.75,15605.905,42829.00749999999,23199.75,10.078911369472701,0.24998449861158478,4876.1918
1994,17294.6,9578.244,34309.75,17294.6,9.768959005882056,0.3101778184522047,1759.1072
1995,15023.8,7447.852500000001,30108.712499999994,15023.8,9.616270904700349,0.3376242550246946,1295.6869
1996,14686.599999999999,9721.564,28918.9525,14686.599999999999,9.626900621088453,0.2709082251235802,1361.9681
1997,13663.4,8845.572750000001,27312.307499999995,13663.4,9.55379379228681,0.28011204962887604,1365.8782
1998,12165,7704.3865,25156.657499999998,12165,9.439507586805783,0.2970971053630255,1041.8048
1999,10808.2,6605.876,22803.759999999995,10808.2,9.31791690999141,0.31926174564012355,745.7646
2000,9761.95,5562.54525,20781.420000000002,9761.95,9.209695303570584,0.34349677949823326,581.3313
2001,11176,5891.74125,24007.722499999996,11176,9.325063250079921,0.3549728423206049,334.3634
2002,15154.5,9016.101499999999,32093.202499999992,15154.5,9.649876524619975,0.30584135294654047,491.3983
2003,17286.7,10244.1325,37474.204999999994,17286.7,9.781785566749623,0.31214850287361323,810.0434
2004,17560.4,10056.267499999998,37886.049999999996,17560.4,9.797307885516423,0.3156955765907381,963.1997
2005,16147.05,9107.257,35412.520000000004,16147.05,9.714302262480684,0.32651562106937926,1086.7665
2006,13941.45,7685.094749999999,31505.054999999997,13941.45,9.56718355419522,0.3477861462084536,903.5151
2007,11974.7,6392.8147500000005,27548.657499999998,11974.7,9.409436373808463,0.37417236191782094,384.4826
2008,11788.75,6250.32175,26947.594999999976,11788.75,9.391844111105005,0.3803729506504418,316.2958
2009,15775.349999999999,8724.851250000002,35166.005,15775.349999999999,9.681292254589712,0.3440142551634386,708.5044
2010,19507.050000000003,10935.970000000001,42155.9575,19507.050000000003,9.894237503258847,0.3212742017259,1500.9356
